state,date,sex,ethnicity,annual_birth,annual_death,age,population
Sabah,2016-01-01,both,overall,52071,12834,overall,3802800
Sabah,2017-01-01,both,overall,52528,13719,overall,3855900
Sabah,2018-01-01,both,overall,53025,13940,overall,3898400
Sabah,2019-01-01,both,overall,52973,14713,overall,3904400
Sabah,2020-01-01,both,overall,49587,14868,overall,3418800
Sabah,2021-01-01,both,overall,41608,18873,overall,3412600
Sabah,2022-01-01,both,overall,43617,17395,overall,3414900
Sarawak,2000-01-01,both,overall,47920,8513,overall,2071500
Sarawak,2001-01-01,both,overall,46098,8893,overall,2115600
Sarawak,2002-01-01,both,overall,44929,8818,overall,2158300
Sarawak,2003-01-01,both,overall,44068,9287,overall,2199000
Sarawak,2004-01-01,both,overall,43545,9506,overall,2240400
Sarawak,2005-01-01,both,overall,43241,9553,overall,2282400
Sarawak,2006-01-01,both,overall,42892,9962,overall,2324900
Sarawak,2007-01-01,both,overall,42549,10020,overall,2366100
Sarawak,2008-01-01,both,overall,43426,10478,overall,2408400
Sarawak,2009-01-01,both,overall,43753,11240,overall,2450800
Sarawak,2010-01-01,both,overall,41474,10396,overall,2487100
Sarawak,2011-01-01,both,overall,43383,11118,overall,2527900
Sarawak,2012-01-01,both,overall,43178,11246,overall,2569700
Sarawak,2013-01-01,both,overall,40413,11231,overall,2642500
Sarawak,2014-01-01,both,overall,41049,11686,overall,2664000
Sarawak,2015-01-01,both,overall,39754,12200,overall,2701500
Sarawak,2016-01-01,both,overall,37985,12608,overall,2738700
Sarawak,2017-01-01,both,overall,37654,13117,overall,2766300
Sarawak,2018-01-01,both,overall,36624,13828,overall,2791700
Sarawak,2019-01-01,both,overall,36672,14025,overall,2806000
Sarawak,2020-01-01,both,overall,35449,14114,overall,2453700
Sarawak,2021-01-01,both,overall,31274,17596,overall,2465600
Sarawak,2022-01-01,both,overall,30937,16627,overall,2473500
Selangor,2000-01-01,both,overall,91635,12706,overall,4188900
Selangor,2001-01-01,both,overall,87758,13368,overall,4317500
Selangor,2002-01-01,both,overall,89735,13922,overall,4446300
Selangor,2003-01-01,both,overall,89933,14295,overall,4577300
Selangor,2004-01-01,both,overall,93176,14616,overall,4712800
Selangor,2005-01-01,both,overall,92456,15371,overall,4849600
Selangor,2006-01-01,both,overall,94737,15695,overall,4986200
Selangor,2007-01-01,both,overall,97055,15903,overall,5127100
Selangor,2008-01-01,both,overall,100284,17649,overall,5268500
Selangor,2009-01-01,both,overall,103023,18373,overall,5417800
Selangor,2010-01-01,both,overall,98429,18558,overall,5502100
Selangor,2011-01-01,both,overall,103686,19352,overall,5600300
Selangor,2012-01-01,both,overall,107946,21020,overall,5702400
Selangor,2013-01-01,both,overall,103173,21677,overall,5904700
Selangor,2014-01-01,both,overall,108932,22647,overall,6051300
Selangor,2015-01-01,both,overall,108131,23804,overall,6178000
Selangor,2016-01-01,both,overall,104661,25588,overall,6291500
Selangor,2017-01-01,both,overall,103987,26733,overall,6380700
Selangor,2018-01-01,both,overall,102125,27387,overall,6475000
Selangor,2019-01-01,both,overall,98836,27786,overall,6506100
Selangor,2020-01-01,both,overall,93577,25405,overall,6994400
Selangor,2021-01-01,both,overall,90118,42051,overall,7014700
